,MemberOf,SAMAccountName,Version,Volume,_id
38,TRVGRP-Hom-89cfcd73d3,Candore_m,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f75
39,TRVGRP-Hom-89cfcd73d3,Felices_h,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f79
40,TRVGRP-Hom-89cfcd73d3,Gonzalez-Zapata_f,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f7d
41,TRVGRP-Hom-89cfcd73d3,Leblond_v,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f81
42,TRVGRP-Hom-89cfcd73d3,Lechien_b,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f85
43,TRVGRP-Hom-89cfcd73d3,Legrand_c,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f89
44,TRVGRP-Hom-89cfcd73d3,Lepinoy_p,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f8d
45,TRVGRP-Hom-89cfcd73d3,Molina_j,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f91
46,TRVGRP-Hom-89cfcd73d3,Paris_p,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f95
47,TRVGRP-Hom-89cfcd73d3,Potoine_b,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f99
48,TRVGRP-Hom-89cfcd73d3,Lenoble_d,2,vmposeteRICHELIEU,5a7194178b35cb93226c5f9d
49,TRVGRP-Hom-89cfcd73d3,Royer_e,2,vmposeteRICHELIEU,5a7194178b35cb93226c5fa1
50,TRVGRP-Hom-89cfcd73d3,Laurent_jt,2,vmposeteRICHELIEU,5a7194178b35cb93226c5fa5
51,TRVGRP-Hom-89cfcd73d3,Crasset_e,2,vmposeteRICHELIEU,5a7194178b35cb93226c5fa9
52,TRVGRP-Hom-89cfcd73d3,Butterbach_j,2,vmposeteRICHELIEU,5a7194178b35cb93226c5fad
53,TRVGRP-Hom-89cfcd73d3,Mistoco_l,2,vmposeteRICHELIEU,5a7194178b35cb93226c5fb1
54,TRVGRP-DatInf-1ac517a9ef,TRVGRP-DatInfDOM-f855f98efb,2,vmposeteRICHELIEU,5a7194178b35cb93226c5fb5
55,TRVGRP-DatInfDOM-f855f98efb,TRVGRP-DatInfDOMPon-2cb234f088,2,vmposeteRICHELIEU,5a7194178b35cb93226c5fb9
