,MemberOf,SAMAccountName,Version,Volume,_id
224,TRVGRP-ECHDSIPRO-9f6de63474,DSI-MIGISERIES,2,VOLDATAG,5a685ca12525b99975921471
225,TRVGRP-ECHDSIPRO-9f6de63474,MIGISERIES,2,VOLDATAG,5a685ca12525b99975921474
226,TRVGRP-ECHDSIPRO-9f6de63474,IWJ351,2,VOLDATAG,5a685ca12525b99975921477
227,TRVGRP-ECHDSIPRO-9f6de63474,OEG954,2,VOLDATAG,5a685ca12525b9997592147a
228,TRVGRP-ECHDSIPRO-9f6de63474,KSU413,2,VOLDATAG,5a685ca12525b9997592147d
229,TRVGRP-ECHCOM-3bb2c1dc6a,COMPTA-CRISTA,2,VOLDATAG,5a685ca12525b99975921480
230,TRVGRP-ECHJURFISANCSopCETCETRESECH-5a78cb207d,JUR_FIS_IND,2,VOLDATAG,5a685ca12525b99975921483
231,TRVGRP-ECHJURFISANCSopCETCETRESECHJUR-d4e43c816b,FISCAL,2,VOLDATAG,5a685ca12525b99975921486
232,TRVGRP-ECHJURFISANCSopCETCETRESECH-2402687a9a,JUR_FIS_IND,2,VOLDATAG,5a685ca12525b99975921489
233,TRVGRP-ECHJURFISANCSopCETCETRESECHJUR-408964e1c4,FISCAL,2,VOLDATAG,5a685ca12525b9997592148c
234,TRVGRP-ECHVE-325d8d03e1,VE-SURETE,2,VOLDATAG,5a685ca12525b9997592148f
235,TRVGRP-ECHVEDir-58e704439e,VE-DirSur-NIGER,2,VOLDATAG,5a685ca12525b99975921492
236,TRVGRP-ECHVEDirNIG-e969219b7e,EXTDBTE,2,VOLDATAG,5a685ca12525b99975921495
