,_id,cn,dn,member
10,5a561c7b8a714b91a76ce8cb,L_BOL_PTX_FILR_MAC MAHON,"cn=L_BOL_PTX_FILR_MAC MAHON,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=GAND,ou=BOLLOREMEDIA,ou=MEDIA,ou=PTX,o=GB1']]"
11,5a561c7b8a714b91a76ce8cd,L_BOL_PTX_FILR_BOLLOREMEDIA_CDGM,"cn=L_BOL_PTX_FILR_BOLLOREMEDIA_CDGM,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=GAND,ou=BOLLOREMEDIA,ou=MEDIA,ou=PTX,o=GB1']]"
12,5a561c7b8a714b91a76ce8cf,L_BOL_PTX_FILR_BluesolutionDaf,"cn=L_BOL_PTX_FILR_BluesolutionDaf,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=GAND,ou=BOLLOREMEDIA,ou=MEDIA,ou=PTX,o=GB1']]"
13,5a561c7b8a714b91a76ce8d1,G_UPSLIDE,"cn=G_UPSLIDE,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=CDBT,ou=DIR-PARTICIPATIONS,ou=BOLLORE,ou=PTX,o=GB1', 'cn=ADSG,ou=DIR-PARTICIPATIONS,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FBSD,ou=COMMUNICATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=CFSR,ou=CONTROLE-GEST,ou=BOLLORE,ou=PTX,o=GB1', 'cn=JMCR,ou=RSE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=XLRY,ou=COMMUNICATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=EFSR,ou=COMMUNICATION,ou=BOLLORE,ou=PTX,o=GB1']]"
14,5a561c7b8a714b91a76ce8d3,BOLLOREMEDIAREGIE_PARTENARIATS,"cn=BOLLOREMEDIAREGIE_PARTENARIATS,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=Stag60D8,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1', 'cn=STBMR02,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1', 'cn=WAOR,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1', 'cn=VVLE,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1', 'cn=QPS,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1']]"
15,5a561c7b8a714b91a76ce8d5,JUR_FIS_IND_FIS_LAE_DOS-CONF,"cn=JUR_FIS_IND_FIS_LAE_DOS-CONF,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=FISCM1,ou=FISCALITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LLAE,ou=FISCALITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LTTX,ou=FISCALITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=VBIT,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1']]"
16,5a561c7b8a714b91a76ce8d7,JUR_FIS_IND_FIS_LAE_CTRL-FISC,"cn=JUR_FIS_IND_FIS_LAE_CTRL-FISC,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=LTTX,ou=FISCALITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FISCM1,ou=FISCALITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LLAE,ou=FISCALITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=VBIT,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1']]"
17,5a561c7b8a714b91a76ce8d9,FMS_OPS,"cn=FMS_OPS,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=OSNT,ou=GieAvions,ou=PTX,o=GB1', 'cn=SLOX,ou=GieAvions,ou=PTX,o=GB1', 'cn=FMSOPS,ou=GieAvions,ou=PTX,o=GB1', 'cn=SPHN,ou=GieAvions,ou=PTX,o=GB1']]"
18,5a561c7b8a714b91a76ce8db,IMP-SECURITE-HOLDING-01-Backup,"cn=IMP-SECURITE-HOLDING-01-Backup,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=ASNO,ou=IRIS,ou=PTX,o=GB1', 'cn=MKIK,ou=IRIS,ou=PTX,o=GB1', 'cn=INCENDIE,ou=IRIS,ou=PTX,o=GB1']]"
19,5a561c7b8a714b91a76ce8dd,IMP-SECURITE-HOLDING-01,"cn=IMP-SECURITE-HOLDING-01,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=ASNO,ou=IRIS,ou=PTX,o=GB1', 'cn=MKIK,ou=IRIS,ou=PTX,o=GB1', 'cn=INCENDIE,ou=IRIS,ou=PTX,o=GB1']]"
20,5a561c7b8a714b91a76ce8df,G_Echange_Communication Groupe,"cn=G_Echange_Communication Groupe,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=ELRL,ou=BOLLOREMEDIA,ou=MEDIA,ou=PTX,o=GB1', 'cn=JLED,ou=COMMUNICATION,ou=BOLLORE,ou=PTX,o=GB1']]"
21,5a561c7b8a714b91a76ce8e1,L_BOL_PTX_FILR_Collectes IFC et NRE,"cn=L_BOL_PTX_FILR_Collectes IFC et NRE,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=EXTLUMMERT,ou=FILR,ou=PTX,o=GB1', 'cn=FVCT,ou=DRH-GROUPE,ou=BOLLORE,ou=PTX,o=GB1']]"
22,5a561c7b8a714b91a76ce8e3,L_BOL_PTX_FILR_INTERFACE KYRIBAS_IRIS,"cn=L_BOL_PTX_FILR_INTERFACE KYRIBAS_IRIS,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=TRESM5,ou=TRESORERIE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=VDBS,ou=COMPTABILITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=NRBS,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FLDN,ou=TRESORERIE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=CLGC,ou=TRESORERIE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=AVCT,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1', 'cn=JGAT,ou=COMPTABILITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=SLBE,ou=COMPTABILITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LS4DSI,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LS3DSI,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1']]"
23,5a561c7b8a714b91a76ce8e5,L_BOL_PTX_FILR_IFRS15,"cn=L_BOL_PTX_FILR_IFRS15,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=AAAD,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=AMLI,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1']]"
24,5a561c7b8a714b91a76ce8e7,MAP-MED-FRPAR5,"cn=MAP-MED-FRPAR5,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=GLSD,ou=COMPTABILITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=SGUT,ou=COMPTABILITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LFHT,ou=COMPTABILITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=GALT,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1']]"
25,5a561c7b8a714b91a76ce8e9,IMP-DRH-HOLDING-07-Backup,"cn=IMP-DRH-HOLDING-07-Backup,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=PYBD,ou=DRH-GROUPE,ou=BOLLORE,ou=PTX,o=GB1']]"
26,5a561c7b8a714b91a76ce8eb,IMP-DRH-HOLDING-07,"cn=IMP-DRH-HOLDING-07,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=PYBD,ou=DRH-GROUPE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=MHFI,ou=INFOGERANCE,ou=PTX,o=GB1']]"
27,5a561c7b8a714b91a76ce8ed,IMP-AUTOLIB-AR-05_BACKUP,"cn=IMP-AUTOLIB-AR-05_BACKUP,ou=IPRINTERS,ou=PTX,o=GB1",[]
28,5a561c7b8a714b91a76ce8ef,IMP-AUTOLIB-AR-05,"cn=IMP-AUTOLIB-AR-05,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=ARLS,ou=BOLLOREMEDIA,ou=MEDIA,ou=PTX,o=GB1']]"
29,5a561c7b8a714b91a76ce8f1,DSI-PROJET-TW-MA2S,"cn=DSI-PROJET-TW-MA2S,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=EXTFAILLER,ou=FILR,ou=PTX,o=GB1']]"
30,5a561c7b8a714b91a76ce8f3,COMPTA-CRISTA,"cn=COMPTA-CRISTA,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=NRBS,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1', 'cn=ILIB,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LS4DSI,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LS3DSI,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1']]"
31,5a561c7b8a714b91a76ce8f5,IMP-ASSISTANTE-BMR-01,"cn=IMP-ASSISTANTE-BMR-01,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=AAIE,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1']]"
32,5a561c7b8a714b91a76ce8f7,IMP-ASSISTANTE-BMR-01_Backup,"cn=IMP-ASSISTANTE-BMR-01_Backup,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=AAIE,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1']]"
33,5a561c7b8a714b91a76ce8f9,DRHGRP-CK-PHILOMANIA,"cn=DRHGRP-CK-PHILOMANIA,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=CKAL,ou=DRH-GROUPE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=PYBD,ou=DRH-GROUPE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=MHRO,ou=DRH-GROUPE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=XBSA,ou=DRH-GROUPE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=VSLU,ou=DRH-HOLDING,ou=BOLLORE,ou=PTX,o=GB1']]"
34,5a561c7b8a714b91a76ce8fb,IMP-FMS-02_BACKUP,"cn=IMP-FMS-02_BACKUP,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=KRMI,ou=DIR-GENERALE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=SLOX,ou=GieAvions,ou=PTX,o=GB1', 'cn=OSNT,ou=GieAvions,ou=PTX,o=GB1', 'cn=SPHN,ou=GieAvions,ou=PTX,o=GB1']]"
35,5a561c7b8a714b91a76ce8fd,IMP-FMS-02,"cn=IMP-FMS-02,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=KRMI,ou=DIR-GENERALE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=SLOX,ou=GieAvions,ou=PTX,o=GB1', 'cn=OSNT,ou=GieAvions,ou=PTX,o=GB1', 'cn=SPHN,ou=GieAvions,ou=PTX,o=GB1']]"
36,5a561c7b8a714b91a76ce8ff,SERVEUR_AEG_DELOITTE_CONSO,"cn=SERVEUR_AEG_DELOITTE_CONSO,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=AAAD,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=AMLI,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=CHVD,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FHLE,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FSRN,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=JMDI,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LSCONSO2,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LSCONSO3,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=MCGR,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=VDNU,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=EXTCLOCHARD,ou=FILR,ou=PTX,o=GB1', 'cn=EXTABERKANE,ou=FILR,ou=PTX,o=GB1', 'cn=EXTALBRAND,ou=FILR,ou=PTX,o=GB1', 'cn=EXTATTERET,ou=FILR,ou=PTX,o=GB1', 'cn=EXTCARNOT,ou=FILR,ou=PTX,o=GB1', 'cn=EXTCYRILLE,ou=FILR,ou=PTX,o=GB1', 'cn=EXTFRUGIER,ou=FILR,ou=PTX,o=GB1', 'cn=EXTGUZHVA,ou=FILR,ou=PTX,o=GB1', 'cn=EXTHALDEMANN,ou=FILR,ou=PTX,o=GB1', 'cn=EXTHUART,ou=FILR,ou=PTX,o=GB1', 'cn=EXTNABIGHA,ou=FILR,ou=PTX,o=GB1', 'cn=EXTROCHE,ou=FILR,ou=PTX,o=GB1', 'cn=EXTZANI,ou=FILR,ou=PTX,o=GB1', 'cn=CDAS,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=ADVS,ou=CONTROLE-GEST,ou=BOLLORE,ou=PTX,o=GB1', 'cn=MTSU,ou=CONTROLE-GEST,ou=BOLLORE,ou=PTX,o=GB1', 'cn=PFML,ou=CONTROLE-GEST,ou=BOLLORE,ou=PTX,o=GB1', 'cn=MCCO,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LSCONSO5,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=CBIE,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=CBCT,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=EHGH,ou=CONSOLIDATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=EXTBENHAMOU,ou=FILR,ou=PTX,o=GB1']]"
37,5a561c7b8a714b91a76ce901,COMPTA-AEG,"cn=COMPTA-AEG,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=EXTGUZHVA,ou=FILR,ou=PTX,o=GB1', 'cn=EXTROCHE,ou=FILR,ou=PTX,o=GB1', 'cn=EXTCLOCHARD,ou=FILR,ou=PTX,o=GB1', 'cn=EXTATTERET,ou=FILR,ou=PTX,o=GB1', 'cn=EXTBENHAMOU,ou=FILR,ou=PTX,o=GB1']]"
38,5a561c7b8a714b91a76ce903,MIDDLE_OFFICE_INDUSTRY,"cn=MIDDLE_OFFICE_INDUSTRY,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=GLRX,ou=DIR-ACHATS,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LSACHAT6,ou=DIR-ACHATS,ou=BOLLORE,ou=PTX,o=GB1', 'cn=ASRR,ou=DIR-ACHATS,ou=BOLLORE,ou=PTX,o=GB1', 'cn=GJUE,ou=DIR-ACHATS,ou=BOLLORE,ou=PTX,o=GB1', 'cn=JDAR,ou=DIR-ACHATS,ou=BOLLORE,ou=PTX,o=GB1', 'cn=ASSIB01,ou=DIR-ACHATS,ou=BOLLORE,ou=PTX,o=GB1', 'cn=HCMN,ou=DIR-ACHATS,ou=BOLLORE,ou=PTX,o=GB1', 'cn=EXTBONNOT,ou=FILR,ou=PTX,o=GB1', 'cn=EXTBERTRAND,ou=FILR,ou=PTX,o=GB1', 'cn=EXTLHUISSIER,ou=FILR,ou=PTX,o=GB1', 'cn=EXTLEUDIERE,ou=FILR,ou=PTX,o=GB1', 'cn=EXTBOUZI,ou=FILR,ou=PTX,o=GB1', 'cn=EXTBETTERKI,ou=FILR,ou=PTX,o=GB1', 'cn=EXTCOUDRAY,ou=FILR,ou=PTX,o=GB1', 'cn=EXTLOCHET,ou=FILR,ou=PTX,o=GB1', 'cn=EXTMANFAIT,ou=FILR,ou=PTX,o=GB1', 'cn=EXTBOURNAZEL,ou=FILR,ou=PTX,o=GB1', 'cn=EXTLUYINDULA,ou=FILR,ou=PTX,o=GB1', 'cn=EXTGOMA,ou=FILR,ou=PTX,o=GB1', 'cn=EXTLATRECHE,ou=FILR,ou=PTX,o=GB1', 'cn=EXTROMDHANE,ou=FILR,ou=PTX,o=GB1', 'cn=EXTWIBERT,ou=FILR,ou=PTX,o=GB1', 'cn=EXTMETAIS,ou=FILR,ou=PTX,o=GB1', 'cn=EXTCELLIER,ou=FILR,ou=PTX,o=GB1', 'cn=JBNA,ou=DIR-ACHATS,ou=BOLLORE,ou=PTX,o=GB1']]"
39,5a561c7b8a714b91a76ce905,CGES_DIVISIONS_NAOC,"cn=CGES_DIVISIONS_NAOC,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=CMTN,ou=COMPTABILITE,ou=BOLLORE,ou=PTX,o=GB1']]"
40,5a561c7b8a714b91a76ce907,iprintgrp,"cn=iprintgrp,ou=SERVERS,ou=BOLLORE,ou=PTX,o=GB1","[['cn=iprint,ou=SERVERS,ou=BOLLORE,ou=PTX,o=GB1']]"
41,5a561c7b8a714b91a76ce909,DirectionFinanciere,"cn=DirectionFinanciere,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=CDBT,ou=DIR-PARTICIPATIONS,ou=BOLLORE,ou=PTX,o=GB1', 'cn=ADSG,ou=DIR-PARTICIPATIONS,ou=BOLLORE,ou=PTX,o=GB1', 'cn=EFSR,ou=COMMUNICATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=XLRY,ou=COMMUNICATION,ou=BOLLORE,ou=PTX,o=GB1']]"
42,5a561c7b8a714b91a76ce90b,COMPTA-CONSTANTIN,"cn=COMPTA-CONSTANTIN,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=EXTLETE,ou=FILR,ou=PTX,o=GB1', 'cn=EXTGHAR,ou=FILR,ou=PTX,o=GB1', 'cn=EXTPERE,ou=FILR,ou=PTX,o=GB1', 'cn=EXTROND,ou=FILR,ou=PTX,o=GB1', 'cn=EXTWING,ou=FILR,ou=PTX,o=GB1', 'cn=EXTDECEUNINCK,ou=FILR,ou=PTX,o=GB1']]"
43,5a561c7b8a714b91a76ce90d,IMP-FISCALITE-01_BACKUP,"cn=IMP-FISCALITE-01_BACKUP,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=LBRR,ou=FISCALITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LLAE,ou=FISCALITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=VBIT,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1']]"
44,5a561c7b8a714b91a76ce90f,IMP-FISCALITE-01,"cn=IMP-FISCALITE-01,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=LBRR,ou=FISCALITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LLAE,ou=FISCALITE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=VBIT,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1']]"
45,5a561c7b8a714b91a76ce911,IMP-FORMATION-01_BACKUP,"cn=IMP-FORMATION-01_BACKUP,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=FORMA1,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA10,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA2,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA3,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA4,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA5,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA6,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA7,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA8,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA9,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1']]"
46,5a561c7b8a714b91a76ce913,IMP-FORMATION-01,"cn=IMP-FORMATION-01,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=FORMA1,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA10,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA2,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA3,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA4,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA5,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA6,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA7,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA8,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=FORMA9,ou=FORMATION,ou=BOLLORE,ou=PTX,o=GB1', 'cn=JPVS,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1', 'cn=OMCL,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1']]"
47,5a561c7b8a714b91a76ce915,IMP-AUTOCOM-01_BACKUP,"cn=IMP-AUTOCOM-01_BACKUP,ou=IPRINTERS,ou=PTX,o=GB1",[]
48,5a561c7b8a714b91a76ce917,IMP-AUTOCOM-01,"cn=IMP-AUTOCOM-01,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=JLST,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1', 'cn=JPVS,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LSTECDSI2,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1', 'cn=OMCL,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1', 'cn=YRBN,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1']]"
49,5a561c7b8a714b91a76ce919,IMP-EARTHTALENT-01_BACKUP,"cn=IMP-EARTHTALENT-01_BACKUP,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=DVCN,ou=DIR-GENERALE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=STEARTH1,ou=DIR-GENERALE,ou=BOLLORE,ou=PTX,o=GB1']]"
50,5a561c7b8a714b91a76ce91b,IMP-EARTHTALENT-01,"cn=IMP-EARTHTALENT-01,ou=IPRINTERS,ou=PTX,o=GB1","[['cn=DVCN,ou=DIR-GENERALE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=STEARTH1,ou=DIR-GENERALE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=LSTECDSI2,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1', 'cn=OMCL,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1', 'cn=STEARTH2,ou=DIR-GENERALE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=STEARTH3,ou=DIR-GENERALE,ou=BOLLORE,ou=PTX,o=GB1']]"
51,5a561c7b8a714b91a76ce91d,DSI-Tresorerie_PRA-FILR,"cn=DSI-Tresorerie_PRA-FILR,ou=GROUPES,ou=BOLLORE,ou=PTX,o=GB1","[['cn=CLGC,ou=TRESORERIE,ou=BOLLORE,ou=PTX,o=GB1', 'cn=EXTJTHY,ou=FILR,ou=PTX,o=GB1', 'cn=EXTTVLE,ou=FILR,ou=PTX,o=GB1', 'cn=EXTRDUT,ou=FILR,ou=PTX,o=GB1']]"
