,Group,MemberOf,ParentFolder,Path,Version,Volume,_id
58,TRVGRP-ECHBOLCANRec-f58dc52900,TRVGRP-ECHBOLCAN-3137e21fcc,/ECHANGES/BOLLOREMEDIA/CANAL-PLUS-MEDIAS,/ECHANGES/BOLLOREMEDIA/CANAL-PLUS-MEDIAS/Reception,2,VOLDATAG,5a685ca02525b99975920af2
59,TRVGRP-ECHUNI-8a111f1b5a,TRVGRP-ECH-1a3fc42d5a,/ECHANGES,/ECHANGES/UNICAF,2,VOLDATAG,5a685ca02525b99975920b07
60,TRVGRP-PUB-5fbeaa5186,TRVGRP--d41d8cd98f,,/PUBLIC,2,VOLDATAG,5a685ca02525b99975920b0e
61,TRVGRP-ECHBOLDRH$A1ECH-480f512003,TRVGRP-ECHBOLDRH$A1-2d006bea3d,/ECHANGES/BOLLOREMEDIA/DRH-MEDIAS/$A1 DRH,/ECHANGES/BOLLOREMEDIA/DRH-MEDIAS/$A1 DRH/ECHANGES,2,VOLDATAG,5a685ca02525b99975920b2d
62,TRVGRP-ECHBOLDRH$A1-2d006bea3d,TRVGRP-ECHBOLDRH-44cbf20a67,/ECHANGES/BOLLOREMEDIA/DRH-MEDIAS,/ECHANGES/BOLLOREMEDIA/DRH-MEDIAS/$A1 DRH,2,VOLDATAG,5a685ca02525b99975920b30
63,TRVGRP-ECHBOLDRH-44cbf20a67,TRVGRP-ECHBOL-e855b53158,/ECHANGES/BOLLOREMEDIA,/ECHANGES/BOLLOREMEDIA/DRH-MEDIAS,2,VOLDATAG,5a685ca02525b99975920b33
64,TRVGRP-ECHBOLDRH$A1ECHDIR-c5fd43f6a3,TRVGRP-ECHBOLDRH$A1ECH-480f512003,/ECHANGES/BOLLOREMEDIA/DRH-MEDIAS/$A1 DRH/ECHANGES,/ECHANGES/BOLLOREMEDIA/DRH-MEDIAS/$A1 DRH/ECHANGES/DIRECT8,2,VOLDATAG,5a685ca02525b99975920b3c
65,TRVGRP-ECHBOLCOMA-C-591b3d7223,TRVGRP-ECHBOLCOM-33319fa2b0,/ECHANGES/BOLLOREMEDIA/COMMUNICATION-MEDIAS,/ECHANGES/BOLLOREMEDIA/COMMUNICATION-MEDIAS/A-CLASSER,2,VOLDATAG,5a685ca02525b99975920b4b
66,TRVGRP-ECHBOLCOM-33319fa2b0,TRVGRP-ECHBOL-e855b53158,/ECHANGES/BOLLOREMEDIA,/ECHANGES/BOLLOREMEDIA/COMMUNICATION-MEDIAS,2,VOLDATAG,5a685ca02525b99975920b4e
67,TRVGRP-ECHDSIATO-48dbc63eca,TRVGRP-ECHDSI-3bc46574ae,/ECHANGES/DSI,/ECHANGES/DSI/ATOS,2,VOLDATAG,5a685ca02525b99975920b69
