,_id,dn,groupid,member,uid
2143,5a58d82d8a714b91a771370b,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=VJNE,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",VJNE
2144,5a58d82d8a714b91a771370e,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=XFND,ou=MATINPLUS,ou=MEDIA,ou=PTX,o=GB1",XFND
2145,5a58d82d8a714b91a7713711,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=GALT,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",GALT
2146,5a58d82d8a714b91a7713714,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=GVCT,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",GVCT
2147,5a58d82d8a714b91a7713717,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=JPGY,ou=DSI,ou=BOLLORE,ou=PTX,o=GB1",JPGY
2148,5a58d82d8a714b91a771371a,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=BNAT,ou=BOLLOREMEDIAREGIE,ou=MEDIA,ou=PTX,o=GB1",BNAT
2149,5a58d82d8a714b91a771371d,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STWEB01,ou=BOLLOREMEDIADIGITAL,ou=MEDIA,ou=PTX,o=GB1",STWEB01
2150,5a58d82d8a714b91a7713720,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STWEB02,ou=BOLLOREMEDIADIGITAL,ou=MEDIA,ou=PTX,o=GB1",STWEB02
2151,5a58d82d8a714b91a7713723,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STWEB03,ou=BOLLOREMEDIADIGITAL,ou=MEDIA,ou=PTX,o=GB1",STWEB03
2152,5a58d82d8a714b91a7713726,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STWEB04,ou=BOLLOREMEDIADIGITAL,ou=MEDIA,ou=PTX,o=GB1",STWEB04
2153,5a58d82d8a714b91a7713729,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STWEB05,ou=BOLLOREMEDIADIGITAL,ou=MEDIA,ou=PTX,o=GB1",STWEB05
2154,5a58d82d8a714b91a771372c,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STWEB07,ou=BOLLOREMEDIADIGITAL,ou=MEDIA,ou=PTX,o=GB1",STWEB07
2155,5a58d82d8a714b91a771372f,"cn=IMP-Ricoh_badge_1,ou=IPRINTERS,ou=PTX,o=GB1",IMP-Ricoh_badge_1,"cn=STWEB11,ou=BOLLOREMEDIADIGITAL,ou=MEDIA,ou=PTX,o=GB1",STWEB11
