chemin,ayant-droits,droits
/SGDP-Lab,.CN=GUP-SGDP-Lab.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DCPG,.CN=GUP-DCPG.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DRPP,.CN=GUP-DRPP.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/FESI,.CN=GUP-FESI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSGA-Imprimerie,.CN=GUP-DSGA-Imprimerie.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DGD-SPOP,.CN=GUP-DGD-SPOP.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/Loi NOTRe – Transport,.CN=GUP-LoiNOTRe.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/CCRRDT,.CN=GUP-CCRRDT.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/Transverse/Réseau référents aides d'Etat,.CN=GUP-Reseau-referents-aides-etat.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/Test,.CN=Pedrosa_v.OU=Service_Informatique.O=CR.T=RLR.,rwcefm
/Test,.OU=Service_Informatique.O=CR.T=RLR.,rwcefm
/Test,.CN=testgwcal.OU=Service_Informatique.O=CR.T=RLR.,rwcefm
/Transverse/DISPOSITIF BOURGS-CENTRES,.CN=GUP-DISPOSITIF_BOURGS-CENTRES.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSI/Direction,.CN=GUP-DSI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSI/Commun,.CN=GUP-TME.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSI/Commun,.CN=GUP-DSI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSI/Commun,.CN=Dezael_f.OU=RMP.O=CR.T=RLR.,rwcefm
/DSI/Equipe_Dir,.CN=GUP-Informatique-Equipe_Dir.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSI/Doc,.CN=GUP-TMA.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSI/Doc,.CN=GUP-HOTLINE.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSI/Doc,.CN=GUP-TME.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSI/DSI-Infogerants,.CN=GUP-HOTLINE.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSI/DSI-Infogerants,.CN=GUP-TME.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DSI/DSI-Infogerants,.CN=GUP-TMA.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DGD-DTAS/Assistantes,.CN=GUP-DGD-DTAS-Assistantes.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DGD-DEIA/Assistantes,.CN=GUP-DGD-DEIA-Assistantes.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/11_SEN/SEN à trier,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/09_service SINAPSE/Service Innov. &amp;amp;amp;amp; Filières,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DITM/Convention TER,.CN=GUP-DITM-ConventionTER.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DTT/DIRECTION,.CN=GUP-DTT-Direction.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DPMG/01 - DIRECTION,.CN=GUP-DPMG-Direction.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DPMG/08 - MOYENS &amp;amp;amp;amp; STD/CONTRAVENTIONS,.CN=GUP-DPMG-Contraventions.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DGD-JEFS/Secretariat,.CN=GUP-DGD-JEFS-Secretariat.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEJ/0 - DIRECTION,.CN=GUP-DEJ-Direction.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DAAF/Direction,.CN=GUP-DAAF-Direction.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEF/01_DIRECTION,.CN=GUP-DEF-Direction.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEF/05_SGPE/SGPE – Document de Travail,.CN=GUP-DEF-SGPE–Document_de_Travail.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/04_IET/Tuilage Infras Ouest,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DMOE/DIRECTION ASSISTANTES CM NF,.CN=GUP-DMOE-Direction.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DPMG/06 - LOGISTIQUE/Qui est où,.CN=Arnaud_v.OU=DGA-2.OU=CR_Hotel_de_Region.O=CR.T=RLR.,rf
/DCPA/Direction,.CN=GUP-DCPA-DIRECTION.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/01_Direction,.CN=GUP-DEI-Direction.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/01_Direction,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/02_Ingénierie-Financière-FEDER,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/03_EIE,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/04_IET,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/05_Entrepreneuriat,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/06_ESS,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/07_PME-Ouest,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/08_PME-Est,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/09_service SINAPSE,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/10_Filières-AES,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/11_SEN,.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/01_Direction/01_Direction-(reservé D,DD,DA, Secrétariat direction)",.CN=GUP-DEI-Direction.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/01_Direction/03_Gestion RH (Fiche de poste, congés, organigramme)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/01_Direction/02_CODIR (réservé CODIR)/02_Budget (BP, DM, Suivi)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rf
"/DEI/01_Direction/02_CODIR (réservé CODIR)/02_Budget (BP, DM, Suivi)",.CN=GUP-DEI-CODIR.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/01_Direction/04_Fonctionnement (Modèles, Notes, Réunions)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
/DEI/01_Direction/05_Production (CP_CS_ Bilan_CCT),.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/01_Direction/06_Missions (Veille, fichiers institutions et entreprises)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
"/DEI/01_Direction/07_Projets (SRDEII, Dispositifs, Projets territoire, AAP)",.CN=GUP-DEI.OU=Group.OU=Service.O=CR.T=RLR.,rwcefm
