GroupeAD,samAccountName,nombre de membres
GRP_s0520,s0520,0
GRP_s0521,s0521,0
GRP_s0522,s0522,0
GRP_s0523,s0523,0
GRP_s0530,s0530,0
GRP_s0531,s0531,0
GRP_s0532,s0532,0
GRP_s0533,s0533,0
GRP_s0534,s0534,0
GRP_s0535,s0535,0
GRP_s0536,s0536,0
GRP_s0537,s0537,0
GRP_s0538,s0538,0
GRP_s0709,s0709,0
GRP_s0715,s0715,0
GRP_s0717,s0717,0
GRP_s0718,s0718,0
GRP_s0719,s0719,2
GRP_s0722,s0722,0
GRP_s0750,s0750,0
GRP_s0751,s0751,0
GRP_s0752,s0752,0
GRP_s0753,s0753,0
GRP_s0754,s0754,0
GRP_s0755,s0755,0
GRP_s0756,s0756,0
GRP_s0757,s0757,0
GRP_s0758,s0758,0
GRP_s0759,s0759,0
GRP_s0760,s0760,0
GRP_s0761,s0761,0
GRP_s0763,s0763,0
GRP_s0771,s0771,0
GRP_s0776,s0776,78
GRP_s0778,s0778,0
GRP_s0781,s0781,0
GRP_s0794,s0794,2
GRP_s0795,s0795,0
GRP_s0800,s0800,0
GRP_s0809,s0809,0
GRP_s0810,s0810,0
GRP_s0840,s0840,0
GRP_s0843,s0843,0
GRP_s0846,s0846,0
GRP_s0847,s0847,0
GRP_s0849,s0849,0
GRP_s0850,s0850,0
GRP_s0851,s0851,0
GRP_s0853,s0853,0
GRP_s0855,s0855,0
GRP_s0856,s0856,0
GRP_s0900,s0900,0
GRP_s0901,s0901,0
GRP_s0902,s0902,0
GRP_s0903,s0903,0
GRP_s0904,s0904,0
GRP_s0907,s0907,0
GRP_s0910,s0910,0
GRP_s0911,s0911,0
GRP_s0912,s0912,0
GRP_s0913,s0913,0
GRP_s0915,s0915,0
GRP_s0920,s0920,0
GRP_s0921,s0921,0
GRP_s0923,s0923,0
GRP_s0930,s0930,0
GRP_s0940,s0940,0
GRP_s0960,s0960,0
GRP_s0970,s0970,0
GRP_s0972,s0972,0
GRP_s0980,s0980,0
GRP_s0981,s0981,0
GRP_s0982,s0982,0
GRP_s0983,s0983,0
GRP_s0984,s0984,0
GRP_s0986,s0986,0
GRP_s0987,s0987,0
GRP_s0995,s0995,0
GRP_s0999,s0999,0
GRP_s0300,s0300,0
GRP_s0310,s0310,0
GRP_s0235,s0235,0
GRP_s0408,s0408,0
GRP_s0988,s0988,0
partagecarnetssanitaires,partagecarnetssanitaires,13
Partage_CadreImagerie,partagecadreimagerie,6
partagecriiirééducateurs,partagecriiirééducateurs,12
PartageTempsTravailGTT,PartageTempsTravailGTT,9
PartageDrm_Direction,PartageDrm_Direction,7
Partagedrmsecondaire,Partagedrmsecondaire,12
partageimagerie,partageimagerie,50
GRP_s4002,s4002,0
GRP_upmr,upmr,2
partagetempstravailgttgroupeprojet,partagetempstravailgttgroupeprojet,15
Partage_CGDS,Partage_CGDS,13
partagecertificationv2014edp,GRP_partagecertificationv2014edp,7
partagecertificationv2014edp_generique,partagecertificationv2014edp_generique,67
partagestandardconcierge,partagestandardconcierge,4
partageservicesinterieursgeneraux,partageservicesinterieursgeneraux,2
PartageMaintenanceBlocsOperatoires,PartageMaintenanceBlocsOperatoires,101
PartagePoleGeriatrie,PartagePoleGeriatrie,19
partagepharmadocs,partagepharmadocs,54
