user,uid,path,trustee,appliesto
.CN=BogdanoffM.OU=HDV.O=ANNECY.T=MRY.,BogdanoffM,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=BrardJ.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,BrardJ,\voirie\Brard,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=BrardJ.OU=Iphone.OU=Comptes_Speciaux.O=ANNECY.T=MRY.,BrardJ,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Voirie.OU=HDV.O=ANNECY.T=MRY.,GG_Voirie,\voirie\Brard,,ThisFolderSubFoldersAndFiles
.CN=Voirie.OU=HDV.O=ANNECY.T=MRY.,GG_Voirie,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=DelannayA.OU=PST.O=ANNECY.T=MRY.,DelannayA,\voirie\CLAVEL,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=DelannayA.OU=PST.O=ANNECY.T=MRY.,DelannayA,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=PropreteUrbaine.OU=PST.O=ANNECY.T=MRY.,GG_PropreteUrbaine,\voirie\COMMUN,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=PropreteUrbaine.OU=PST.O=ANNECY.T=MRY.,GG_PropreteUrbaine,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=Imalux.OU=PST.O=ANNECY.T=MRY.,Imalux,\voirie\Eclairage-feux-tricolores,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=Imalux.OU=PST.O=ANNECY.T=MRY.,Imalux,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=1-VoirieFeux.OU=HDV.O=ANNECY.T=MRY.,GG_1-VoirieFeux,\voirie\Eclairage-feux-tricolores,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=1-VoirieFeux.OU=HDV.O=ANNECY.T=MRY.,GG_1-VoirieFeux,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=JournetD.OU=HDV.O=ANNECY.T=MRY.,JournetD,\voirie\Journet,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=JournetD.OU=HDV.O=ANNECY.T=MRY.,JournetD,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
.CN=KrasnoplakhtoffJ.OU=HDV.O=ANNECY.T=MRY.,KrasnoplakhtoffJ,\voirie\Signalisation,"Read,ReadAndExecute,Synchronize,Write,CreateFiles,CreateDirectories,Delete,Modify,ListDirectory",ThisFolderSubFoldersAndFiles
.CN=KrasnoplakhtoffJ.OU=HDV.O=ANNECY.T=MRY.,KrasnoplakhtoffJ,\voirie,"ReadAndExecute,Synchronize",ThisFolderOnly
